,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2022-01-05,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2022-02-05,2022-01-04,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2022-01-03,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,2021-09-37,2021-03-13,2020-12-50
Paisley - Airport,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,5.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.408,,,,,,,,,,,,,,,0.54,,,,,,,,,,,0.2,,,,,,,25.955,,,,,,
Paisley - Blackhall,,16.57,9.065,143.44,,,,22.715,,,95.75,80.215,92.525,,1.27,,,78.415,,,54.04,,,,,,39.04,,25.18,60.685,5.7,,,,,,,141.35,,,NA,,,,,9.215,,47.33,82.23,245.76,,,,,465.745,,76.415,27.945,,113.61,12.54,,,281.86,,,,,20.515,,,51.42,,,52.435,2.265,,,,,,,NA,,58.59,,0.15,,,,89.84,,,18.2,,,,145.63,,
Paisley - Brediland,,10.83,1.59,19.135,,,,5.05,,,12.65,0.945,4.965,,0.385,,,0,,,0,,,,,,0.21,,0,0,0.175,,,,,,,34.25,,,0.78,,,,,2.67,,24.93,4.15,13.01,,,11.38,,41.695,,6.665,36.01,,26.635,1.156,,,4.32,,,,,0.515,,,111.3,,,22.665,0,,,,,,,NA,,7.34,,0,,,,0,,,298.875,,,,25.44,,
Peebles,4.48,0.65,,,,,,49.67,1.86,0,28.14,,33.95,,0,4.96,,34.54,1.68,,52.07,NA,0.29,3.83,,2.68,,0,27.88,36.44,0,4.05,,54.79,,,,,40.97,6.77,1.22,26.6,,,,15.06,3.95,40.54,10.88,66.22,0,,26.47,0,5.88,0,0,76.87,0,23.67,,1.87,,47.35,0,4.85,2.1,0,0,2.43,,0.05,,36.59,94.6,3.25,0.36,8.89,7.84,,0,,,52.77,,0,0,0,,,7.09,,,0.54,0,,2.89,,0,6.52
Penicuik,,52.16,179.21,84.14,,,,49.94,,,254.52,134.69,212.79,,5.52,,,,,,152.59,158.06,2.36,,,,23.37,,50.2,53.47,8.58,,,,,,,,131.24,,NA,,,,,,,93.07,,310.87,31.84,,,,49.89,,52.31,,,66.23,0,,,NA,7.75,,,,16.7,1.3,,,,,111.98,0.73,8.43,145.85,,,,,,,289.61,,22.69,,,,129.67,,,105.14,,,,210.64,2.89,
Persley,,,,164.285,,,,,,,,62.84,,,,,,,,,,,,,,,,,,212.145,,,,,,,,,,,,,,,,,,165.1,,,,,58.93,,,,,,,134.26,,,,,,,,,,,,,NA,,115.1,,,,,,,,,,,,,,,93.18,,,,,,,,,,
Persley - Northfield,,,,,,117.68,,,,,,,,,0.225,,,,,,,,,,,,,,,,3.22,,,,,,,,,,,,,,,,,,,,15.1,,,,,,0,,,,4.105,,,,1.31,,,,,,,,,,,1.81,,,,,,,,,,,0.64,,,,,,,0.38,,0,,,0.07,
Perth,,15.94,276.44,73.445,25.92,,,94.19,,,,61.205,22.045,,2.685,,,77.01,,,187.06,57.6,7.225,,,,24.055,,84.725,61.6233333333333,2.745,,,,,,19.95,,58.72,,75.2,,,,,,,52.23,26.72,67.67,6.935,,58.3833333333333,,21.365,,6.51,,,124.773333333333,1.77,,,122.44,4.035,,,,13.105,64.025,93.73,51.15,,26.2566666666667,105.65,3.61,3.08,274.1,,,,,278.19,25.5266666666667,68.25,,2.055,,93.17,87.15,31.31,,,0.515,,2.65,,160.76,1.17,
Peterhead,,0.205,70.975,20.41,54.16,0,,5.615,,,7.885,35.8,5.285,,0.27,,,25.27,,,,2.80666666666667,0.726666666666667,,,,0.185,,19.7,47.1,0.275,,,,,,,4.28,38.13,,10.1,,,,0,16.26,,63.785,1.19,37.33,0.71,,31.44,,1.9,,0.606666666666667,2.315,,10.31,0.143333333333333,,,23.19,0.32,,,,1.61,1.72333333333333,203.49,26.72,,111.86,28.99,0.52,0.245,85.12,,,,,,25.06,3.84,40.9333333333333,5.345,4.955,,43.32,4.57,,29.45,0.28,,0.55,2.34,68.76,0.465,
Philiphill,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipshill,117.75,12.39,49.18,60.02,,,,175.36,20.69,,302.01,150.43,49.58,73.88,6.4,46.13,,59.28,,,49.275,13.74,9.28,78.18,0.26,13.35,9.21,0.84,45.73,36.4,8.75,4.09,,47.36,,,,70.36,64.515,14.44,227.4,53.58,9.92,,18.85,78.46,63,87.4366666666667,44.58,,5.97,,53.1533333333333,34.28,15.77,4.83,8.35,40.43,0,64.4233333333333,4.41,6.69,,192.27,7.85,34.82,72.63,,,8.03,NA,77.97,,56.9766666666667,48.725,7.76,9.6,,31.11,0,53.15,,298.63,53.6266666666667,54.24,26.42,4.14,61.86,,69.21,,,70.46,0.69,0.28,8.31,12.79,104.99,,13.085
Philipshill - Hairmyres Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,
Philipshill - Stewartfield (3606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Philipshill - Stewartfield (7801),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156666666666667,,,,,,,,,,,,,,,2.785,,,,,,,,,,,,,,,,,,,,,,,,
Sanquhar,,144.255,6.77,349.75,,,,22.495,,,36.93,12.73,141.23,,9.29,,,,,,,,,,,,122.83,,9.055,8.535,,,,,,,,,,,,,,,,,,,58.425,NA,,,,,69.935,,0.995,,,,,,,377.085,,,,,1.605,,,56.41,,,17.41,0,,,,,,,697.76,47.12,7.735,,11.575,,,,33.32,,,10.125,,,,137.38,,
Seafield,5.87,26.1833333333333,64.5,85.7766666666667,99.07,2.81,,32.33,24.03,,98.9233333333333,141.415,109.713333333333,,4.34333333333333,34.69,,75.1533333333333,11.55,2.05,131.03,110.28,12.9266666666667,,,14.93,30.3733333333333,4.88,30.78,45.7625,3.2,9.5,,11.78,,,205.88,242.26,40.95,,67.6766666666667,53.41,,,13.19,36.1,28.48,71.55,44.72,113.17,7.61666666666667,,67.585,19.76,29.6,1,12.61,45.4733333333333,0,37.7925,3.11,,,162.173333333333,9.86,11.55,21.09,,22.435,14.29,214.36,21.21,43.905,58.415,50.4025,1.16,13.2933333333333,108.56,96.64,,,,NA,70.4025,55.99,17.53,2.71333333333333,30.35,65.95,85.47,100.63,,71.99,7.21666666666667,1.28,4.55,10.23,136.95,5.725,2.67
Seafield - Cockenzie,,4.935,NA,NA,,,,9.455,,,NA,15.75,27.705,,,,,52.91,,,300.56,,,,,,6.295,,23.49,50.03,,,,,,,,175.37,,,,,,,0,51.14,,54.65,48.985,NA,,,32.91,,107.105,,,25.33,,4.7,,,,NA,,,,,0.2975,,,,,,639.04,,,31.78,,,,,47.11,48.41,215.87,,,,,,764.21,,,,,,,,,
Seafield - Craigmillar,,,,NA,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,,,,,,,,
Seafield - Muirhouse,,,,NA,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,,,,NA,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Seafield - Restalrig,,,,NA,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,,,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,,,,,,,,
Seafield - Tranent,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,
Seafield - Western General,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,,
Selkirk,,,154.855,36.34,,,,0,,,,,12.52,,2.21,,,,,,40.52,,,,,,,,66.57,4.9,0,,,,,,,36.46,,,,,,,,,,,10.73,46.52,,,6.92,,,,0,,,70.075,0.7,,,67.9,0,,,,0,,,14.37,,,37.89,0,,32.78,,,,,31.75,,,,0,,,,14.91,,,0.31,,0,,8.96,1.59,
Sheildhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Shieldhall,16.3625,NA,41.925,65.4966666666667,,,0,44.27,25.0266666666667,0,163.75,81.2,68.125,41.43,35.64,41.4466666666667,0.1175,150.44,21.55,3.17,40.7733333333333,28.6,26.3225,63.71,0.38,27.32,15.455,9.4725,60.24,43.19,7.92,13.7633333333333,,55.4875,0.168,0,209.36,71.2,66.0133333333333,21.4866666666667,142.51,95.27,20.03,0.17,34.02,52.53,46.3375,50.125,50.4,289.53,21.255,24.53,43.125,17.8275,35.21,6.37333333333333,19.025,22.09,0.8475,50.2475,9.365,6.695,0,230.205,15.63,16.71,39.4675,0.79,27.63,18.7966666666667,335.96,45.59,39.32,53.1233333333333,56.02,8.83,24.1366666666667,81.5,57.8025,0.6,10.7466666666667,0.78,187.06,55.655,84.43,59.1125,5.5,34.11,69.95,87.965,61.79,0,,31.895,1.49,9.49,21.7466666666667,125.54,6.315,33.026
Shieldhall - Barrhead,,10.405,157.77,149.015,,,,30.77,,,135.55,173.795,11.13,,5.595,,,41.05,,,105.82,,,,,,0.88,,NA,95.85,1.945,,,,,,,102.21,,,27.74,,,,,207.01,,90.705,84.04,217.7,,,174.7,,27.985,,10.17,15.5,,426.59,0.84,,,125.3,,,,,4.825,,,NA,,,65.64,,,59.15,,,,,95.53,,81.46,,8.55,,,,44.03,,,1.7,,8.275,,179.62,2.65,
Shieldhall - Gorbals,,46.81,19.82,17.46,,,,20.055,,,155.035,72.455,83.625,,30.585,,,52.855,,,60.15,,,,,,10.595,,17.11,72.265,13.195,,,,,,,157.55,,,64.53,,,,,22.3,,141.02,37.03,34.34,,,18.53,,39.035,,86.095,22.575,,39.85,8.735,,,59.25,,,,,10.05,,,,,,385.52,,,58.83,,,,,28.47,,51.98,,4.665,,,,40.54,,,108.795,,1.495,,75.14,6.97333333333333,
Shieldhall - Govanhill,,,,,,,,,,,,,,,879.915,,,,,,,,,,,,,,,,11.885,,,,,,,,,,,,,,,,,,,,,,,,,,60.715,,,,39.01,,,,,,,,,,,,,,,,,,,,,,,,,,86.805,,,,,,,490.605,,12.925,,,24.0366666666667,
Shieldhall - IMAX,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Shieldhall - Pollockshields West,,122.892,8.01,59.055,,,,15.35,,,379.875,22.505,43.025,,,,,22.215,,,43.375,,,,,,19.26,,NA,115.935,,,,,,,,30.4,,,43.4,,,,,,,,27.43,958.13,,,17.78,,47.925,,,3.36,,74.665,,,,193.99,,,,,,,,20.78,,78.36,76.59,,,21.31,,,,,20.7,16.93,5.56,,,,,,120.49,,,,,,,112.71,,
Shieldhall - Science Centre,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Shotts,,17.81,79.53,NA,,,,126.74,,,,194.26,136.12,,32.7,9.88,,81.02,,,NA,65.57,50.61,,,,6.57,,NA,37.01,11.26,,,,,,,58.04,,,,91.56,,,,,,70.97,127.61,,23.21,,66.52,,9.61,,1.53,,,NA,6.49,,,,22.14,,,,0,45.3,,,139.08,,86.02,7.84,8.12,,31.04,,,,59.7,,,48.68,15.81,,,101.53,,,NA,3.31,,3.68,56.49,233.33,,
Skellyton,,16.71,,,,,,174.5,,,270.13,306.52,,,2.17,,,,,,98.25,23.59,6.94,,,,19.32,,232.1,62.44,,,,,,,,104.18,,,,219.76,,,,,,,463.74,,4.19,,138.27,,65.5,,16.98,,,118.17,3.16,,,,,,,,11.29,4.9,,92.62,,,64.03,26.51,207.25,111.73,,,,,418.04,,,108.67,1.43,272.62,,,,,,,,1.3,NA,176.81,,
Springfield,,2.005,124.895,53.61,,,,319.4,,,,555.97,,,0.195,,,44.07,,,103.5,0.72,4.07,,,,7.895,,34.59,46.09,1.42,,,,,,,,,,35.63,,,,0.75,,,47.23,40.62,338.4,23.805,,52.14,,11.33,,0,,,43.17,11.705,,,727.48,8.3,,,,,3.02,,31.48,167.61,19.73,46.1,0.28,1.97,121.21,,,,,265.05,38.16,47.385,4.54,2.18,13.62,,,3.52,,,0.305,,38.63,6.22,150.59,5.46,
St Andrews,,11.385,211.875,280.56,,,,41.21,,,,63.805,57.92,,1.955,,,,,,73.08,0,1.425,,,,10.165,,93.15,39.305,1.94,,,,,,,,63.89,,104.47,,,,20,,,,39.88,74.38,14.09,,29.86,,31.755,,2.945,28.45,,55.55,17.755,,,215.255,15.465,,,,8.31,32.145,60.86,69.45,54.41,,236.48,2.55,2.785,95.69,,,,,75.8,,75.375,1.59,0.87,13.85,,,,,,10.745,,21.88,0,65.43,31.08,
St Andrews - University (2979),,,0.305,3.63,,,,4.0425,,,27.805,15.92,,,,,,344.08,,,,,,,,,,,,6.92,,,,,,,,,2.64,,3.68,,,,,1.12,,5.88,,10.9,,,0.03,,,,,0,,4.71,,,,11.205,,,,,,,,200.95,,,0.92,,,12.3,,,,,0,,,,,,,,,,,,,,,0,,
St Andrews - University (4964),,,15.335,45.09,,,,0.322,,,3.9,38.895,,,,,,2.4,,,,,,,,,,,,10.135,,,,,,,,,10.095,,19.435,,,,,,,,,7.76,,,4.71,,,,,0,,7.26,,,,9.345,,,,,,,,24.335,,,57.44,,,25.945,,,,,15.02,,,,,,,,,,,,,,,58.27,,
Stevenson,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevenston,,8.235,34.87,81.66,,1.76,,13.825,,,75.195,53.085,23.765,,3.24,,,93.48,,,104.34,46.34,3.8,,,,9.705,,14.755,25.59,0.86,,,,,,96.77,,18.35,,26.19,,,,,31.2,,46.7333333333333,11.265,71.57,5.105,,60.7366666666667,,18.93,,3.32,18.5,,17.59,4.41,,,68.98,8.245,,,,7.695,22.675,,39.275,11.53,31.4,25.915,1.295,9,12.87,,,,,28.03,25.6533333333333,30.48,,2.3,,52.8,33.64,23.84,,9.38,10.095,,6.41,9.74,43.315,6.87,
Stevenston - Stevenston East,,5.95,36.75,29.57,,1.66,,21.14,,,100.51,134.86,184.35,,0.55,,,77.99,,,477.53,,,,,,2.775,,,37.235,,,,,,,,115.68,,,NA,,,,15.85,1.26,,18.69,4.65,NA,,,38.635,,112.59,,240.555,1.65,,54.26,,,,6.07,,,,,0,,,,,,3.175,0,,,,,,,47.78,,28.22,,0.435,,,9.68,137.14,,18.93,0.93,,,,,,
Stevenston - Stevenston West,,0.935,42.45,49.55,,2.17,,230.93,,,422.45,124.295,17.77,,7.5,,,64.68,,,47.46,,,,,,1.34,,131.76,10.735,,,,,,,,23.91,,,23.96,,,,0,118.315,,336.31,6.43,NA,,,12.53,,3.67,,3.7,1.79,,21.555,,,,165.78,,,,,1.33,,,,,,20.685,1.91,,,,,,,NA,,1.42,,21.6,,,,,,42.07,85.29,,,,,,
Stirling,,1.49,21.39,47.155,28.25,,,26.49,,0,76.5,137.24,57.33,,5.19,6.38,,NA,,,20.0133333333333,6.32,25.21,,,3.25,4.95,0,9.87,12.2133333333333,3.21,2.82,,3.67,,0,180.31,,29.62,12.49,21.83,27.67,12.14,,5.22,15.69,6.94,70.1966666666667,22.13,13.46,3.18,,32.1333333333333,0.39,1.13,0,1.32,29.55,0,39.2466666666667,13.21,0,,74.74,14.16,1.71,59.74,0,,NA,207.14,26.84,14.03,27.235,58.0333333333333,1.1,6.68,15.8,14.93,,0,,,46.0566666666667,,60.81,1.93,3.64,44.98,,20.75,,,0.74,0.36,,9.54,56.63,5.08,2
Stirling - University,,,13.645,12.6,,,,,,,6.93,0.11,,,,,,4.675,,,349.075,,,,,,,,5,259.555,0.225,,,,,,,,2.05,,82.76,,,,,,,49.305,,18.01,,,0.13,,,,,,,37.21,,,,277.9,,,,,,,,5.79,,13.84,,1.05,,,,,,,,,,,0,,,,,,,,,,,NA,,
Stonehouse,,24.35,,,,,,24.35,,,,98.58,56.53,,0.38,23.39,,,,,59.3,13,0.63,,,,5.19,,21.19,66,,,,,,,,,,,,8.08,,,,,,,14.07,,9.53,,95.61,,18.67,,0,,,74.51,1.64,,,252.74,0.93,,,,8.95,8.11,304.3,60.52,,,22.61,28.67,2.25,,20.74,,,,254.68,NA,,7.73,0.93,,,,7.14,,,8.78,,2.75,3.32,116.31,,
Stornoway,0,0,,NA,,,,18.12,,,95.59,NA,7.55,,0,0,,,,,,22.41,NA,NA,,0,1.51,0,15.17,,0,0,,,,,,,NA,,22.39,NA,,,0,,,,33.16,,,,NA,0,2.36,0,0,10.16,0,,NA,,,10.79,0,,,,,NA,,NA,,,NA,0,1.13,110.8,0.96,,0,,14.53,,,26.42,0,1.96,,5.5,0,,,0,0,,NA,0,0,0
Strathaven,,,,,43.36,,,26.72,,,,22.01,14.89,,5.48,29.96,,,,,102.66,2.4,5.01,,,,,,NA,43.4,,,,,,,,,,,22.56,56.63,,,,,,,59.81,,5.89,,,,,,2.18,16.86,,98.42,9.56,,,,13.01,,,,0,125.71,,66.65,,,31.97,16.26,46.4,,27.14,,,,325.09,,,8.17,15.7,9.2,14.77,,,,123.28,1.04,,9.68,2.6,,,
Swinstie,,14.8,,,,,,91.62,,,,27.06,143.32,,1.88,,,,,,NA,17.72,16.39,,,,2.69,,20.41,23.43,12.1,,,,,,,,,,,61.22,,,,,,,96.24,,21.96,,,,NA,,,,,72.59,12.77,,,,81.58,,,,0.51,3.41,,26.97,,34.09,36.83,4.94,6.28,NA,162.91,,,,683.84,,,44.08,NA,8.31,,,16.3,,,NA,,54.66,NA,187.67,,
Thurso,,,,57.025,48.03,,,,,,,10.01,,,,,,,,,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.815,,,,,,,,,,,,,,,,,,,,,,30.725,,,,,,,,,,,,,,,151.82,,,,,,,,,,
Tillicoultry,,54.19,1113.635,110.015,,,,94.545,,,,40.055,25.36,,1.47,,,,,,24.51,97.6,1.99,,,,5.36,,119.3,312.585,0.685,,,,,,,,,,15.36,,,,1.62,,,,192.19,218.245,3.22,,74.91,,38.85,,1.97,,,362.25,4.09,,,642.44,3.06,,,,4.1,12.585,,69.59,152.91,,269.41,0.205,10.695,94.12,,,,,,,203.58,,0.82,,,,6.39,,,0.93,,,,112.305,17.89,
Troqueer,11.02,0.865,82.83,85.905,,,,,9.57,,60.38,179.65,25.225,,0.115,29.1,,131.1,9.4,,98.78,,3.53,,0,3.5,13.68,0.65,84.415,171.05,0,5.38,,,,,,25.53,45.05,23.59,28.16,116.82,,,,25.605,1.79,114.895,16.66,80.525,2.845,,39.435,36.99,9.61,0,0,11.035,0,79.27,0,0,,142.84,1.415,2.52,0.845,,0.69,3.45,,80.65,,60.44,68.315,0,3.285,107.96,46.34,,4.89,0,,37.605,13.45,,0,14.56,,58.52,,0,,0.07,0,,22.01,122.025,2.03,5.22
Turriff,,0,194.415,62.17,,,,1.67,,,15.31,,19.46,,0,,,24.63,,,14.79,,,,,,0.95,,0,69.315,0,,,,,,,17.42,,,,,,,,,,19.83,0,579.255,,,4.83,,2.94,,3.14,,,108.935,,,,361.34,,,,,0.89,,,109.05,,,46.43,0,,32.46,,,,,,,7.57,,0,,,,8.08,,,1.14,,,,,,
Uplawmoor,,,,,,,,,,,,,,,,,,,,,,0,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.19,,,,0,,,,,1.565,,,,,,,0.095,,,,,,,,,,,,,,,,,,,0,,,NA,
Whitburn,,7.935,106.875,61.805,,,,41.44,,,,87.57,53.43,,2.235,140.24,,,,,46.19,63.82,30.905,4.49,,,17.845,,48.71,71.48,0.195,,,,,,73.5,,100.275,,16.2,61.56,,,1.37,,,,106.28,140.5,3.29,4.45,60.6866666666667,,60.08,,0.29,,,64.94,4.065,,,458.3,2.855,43.06,,,9.98,38.54,293.39,52.27,72.82,,54.5,0.77,35.825,40.39,37.81,,,,266.18,15.22,307.75,26.83,2.55,108.47,,43.12,41.725,,,1.33,,,345.66,183.62,3.895,
Wick,,,,43.2,100.24,,,,,,,55.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.27,,,,,,,,,,,,,,,,,,,,,,104.405,,,,,,,,,,,,,,,7.04,,,,,,,,,,
Winchburgh,,8.39,206.205,16.45,,,,53.58,,,106.74,182.65,65.395,,0.11,0.68,,,,,177.86,16.51,20.9,,,,5.53,,34.36,87.705,0,,,,,,327.05,45.57,54.87,,189.91,9.03,,,0,,,92.24,148.2,0,17.625,,90.71,,34.88,,16.57,,,71.665,0.18,,,1.04,9.785,15.44,,,4.99,21.985,,,437.81,NA,77.155,0,3.24,,10.98,,,,2.74,172.31,157.73,5.065,5.705,1.56,,4.99,34.99,,118.47,0.15,,0,6.38,209.275,0.87,
