,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Shieldhall - Gorbals,146546,13550.5,185635.5,,,117740,,5213.4,,,102466,,87993,78032.5,,57156,89048.5,,,,,18303,81175,,,,,,,22393.5,151453.5,,,144149,15533.5,,88457,,,,15978,,94976.5,31982.5,,,,,,32358,7229,,,17048,,195909,,,301957.5,19733,,,,144230,,,,45923.5,,,,,,,,560835,62787.5,,31256,,45915,,,103029.5,66791,,67004.5,,,
Shieldhall - Govanhill,,99494,,,,,,47198.8,,,,,,,,,,,,,,,,,,,,,,32677.5,177504.5,,,,,,,,,,,,,,,,,,,,206768,,,,,1468930.5,,,,,,,,,,,,,,,,,,,,,1080061,,,,,,,,,,,,,
Shieldhall - IMAX,,,,,,,,,,,,,,,,20124.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1356.5,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Shieldhall - Pollockshields West,,,160395.5,,,165526,33537,,,,83750,,30017.5,100255.5,,139052.5,37600.5,,,51670.5,,,10730,,,39411,,,21460,,,,,244475,4051.5,,38599,,,,38181,,175950,22145.5,,,,,,105233.5,,,,18194,,,,,851488.5,NA,,,,31229,,,,7404.5,108578,,,,,,,117817,,,,,24480.5,,,248052.4,60707,,1111007,,,
Shieldhall - Science Centre,,,,,,,,,,,,,,,,37686.8,,,,,,,,,,0,,,,,,,,,4156,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2781.25,,,,,,,,,,,,0,,
Shotts,83818,9949,98613,62115,,,162128,5493,,,,,291463,17693,,NA,191062,,51129,258635,,0,,,62161,,,,,22946,2002,,,567675,82867,,NA,,17567,,12032,7086,34417,283855,28489,,,,94781,NA,25921,,,77617,,6929,,,,NA,,,46156,296213,,71297,,,,48062,,,,,70955,137049,51933,,,,NA,182448,12753,30217,305886,,160885,,,
Skellyton,,6071,220162,,,,,2221,,,,,509829,163450,396220,198797,,,6772,3495,,24463,,,44522,138771,,,,,29114,,,227120,,,149447,,195654,,39901,,114596,372332,7773,,,,NA,,2776,,,138156,,,,,518244,335446,,,5816,,,152127,,,,,,,,,174325,110356,4033,,,,120166,,57653,34342,1006023,,906709,,,
Springfield,58834,14529.5,5300,,,1223607,63841,24052,,,52502,,723177.5,16915.5,8790,57629,70517,,3231,128596.5,,854,76328,,230.5,48847,,,51982,1810,0,,,228867,189298.5,,163970,,1528.5,,11342.5,,54897.5,503563,21346,,,,2854.5,81900,3166,,,76783,,285.5,,,,34405,,,1755.5,,,,,,30488,8266,,,,,1227,66848,217,,,,119363,,374,2749.5,68345,,511353.5,,,
St Andrews,,32022.5,,,,461618.5,97213,41699.5,,,196542,,103447,63126,19254,107982,,,1747,,,22548.5,151441.5,,0,144603.5,,,,3576,3781.5,,,127761,414770,,197549.5,,3501.5,,18153,,71946,81720.5,20207,,,,0,595227,1376.5,,,41433,,16690,,,,147331,,,26913,116010,79869,,,56843,,20706,,,,,2285.5,465735.5,3238,,,,77373,,4973,19768,83431,,146338,139994,,
St Andrews - University (2979),8487,,,,,21423.5,,,,,9339,,22831.5,,,9393,209640,,,,,,,,,413291.5,,,,,,,,0,696,,18475,,,,,,14567,5263.25,,,,,,8064,,,,48.5,,,,,40901.5,,,,,,,,,0,,,,,,,,1720.5,,,1200,,,,,,,,10443.5,4970.5,,
St Andrews - University (4964),,,,,,17199.5,,,,,41949.5,,72420,,,13087.5,2969,,,,,,,,,55671,,,,,,,,139976.5,22979.5,,53587,,,,,,22713.5,569,,,,,,108717,,,,9183,,,,,7835,,,,,,,,,0,,,,,,,,130374,,,,,,,,,,,19131,18494.5,,
Stevenston,45474.6666666667,6761.5,50685,,,93265,43693.6666666667,10377,,,73050,,52467.5,36668.5,,15397.5,214805,,4701.5,7333.5,,16957,56480.5,,40319,34514,,,34080.3333333333,1578,6577.5,,,83959.5,30647.5,,14812,,13821,135197,18057,,30285.5,42089,6814.5,,,,18621.5,130221,3620.5,,,65813,3868,19600,,,153449.5,16273,,,26262.5,42188.5,,,,36819.5,28133.6666666667,13435.5,,,,,,29637,4775.5,,47717,,80614,46509,2711,19006.5,23932,,116156,25617,,
Stevenston - Stevenston East,17739,,265410,,,11742,NA,,,,NA,,156040,195847,,113219,151433,,,,,12575.5,58231,,,,,,,,381836,,,,29331.5,,22889,,,,4749.5,,64724,41079.5,,,,,,40490,690.5,,,30186,2929,1406,,,180893,,,,,364173,,,,3946,,,,,,,,4030.5,997.5,,1686.5,,490004,20028,0,9009.5,9151,,94453,,,
Stevenston - Stevenston West,413963,,58539,,,358006,30307,,,,60197,,140078.5,8434.5,,40218.5,158489,,,,,1641,3380,,,,,,,,7962,,,,62009,,28181,,,,2901,,10842,653670,,,,,,78236,28999,,,5236,5088,121404.5,,,785548,129670,,,,12513.5,,,,4978,,,,,,,,24679.5,15714.5,,168903,,20901,,4395,2195,16528,,NA,,,
Stirling,85038,16410,26965,18502,480,82751,29479,5204,2468,,31166,0,187627.5,1360,4115,49708.6666666667,NA,0,31668,47932.5,,6532,,0,7105,33062,,0,61090.3333333333,4510,1557,15486,4030,77862,20490,,20131,0,8006,234023,7662,7932,14275.6666666667,34166,3697,,,,10545,59978.5,2495,,0,39666.6666666667,,917,8618,,106778,11502,0,439,NA,74582,267164,34342,73967,38555,36520.5,17555,2127,,,4552,82628,72203.3333333333,6292,,18827,4752,23503.3333333333,56657,1389,1855,32205,10892,18168,40239,,0
Stirling - University,56150.5,,,,,345348,,,,,134485,,63,,,64467,4182.5,,,NA,,,,,,10153,,,,232.5,,,,NA,17473.5,,,,,,,,465109,,,,,,,22638,0,,,189,,,,,8189,8481,,,,,,,,,16499,,,,,,,,,,,,325708,,1068.5,,,,21562,3479,,
Stonehouse,,2399,11068,28746,,423858,,3529,,,,,115769,28740,,85800,,,433,5519,,15034,,,23359,63515,,,NA,,0,,,143355,,,,,3653,,6989,17984,88902,39818,12162,,,,4386,,1146,,,81022,,12707,,,,23535,,,11655,81885,411285,5789,,,,1215,,,,,4513,22474,524,,,,48325,,45331,36704,22767,,421327,,,
Stornoway,,NA,0,945,0,9563,,0,0,,19842,,NA,2089,1592,,,,NA,14846,NA,0,,0,13291,NA,,0,,0,0,,0,0,,,98191,,1071,,1487,0,,16058,,,,,NA,NA,0,,0,NA,,0,,0,84717,13445,,0,NA,8440,,NA,,25981,,0,,,,,24618,NA,0,,,0,,4274,0,0,29391,,12876,NA,,0
Strathaven,,10350,,24462,,,41541,10590,,,27755,,19176,,7078,92399,,,3872,101702,,0,,,2034,52057,,,,,2443,,,,,,90026,,38833,,,22228,43854,37833,5878,,,,1873,,21929,,,,,1138,,,,NA,,,77464,18567,,25363,,24407,,16250,,,,,5736,26811,6902,,,,86744,12868,21200,,79861,,408898,,,
Swinstie,,21166,33704,62809,,,,62820,,,,,32664,NA,10794,97425,,,27088,,,1140,,,32812,33621,,,,20787,,,,300737,,,NA,,16555,,4964,,33065,185965,27010,,,,NA,,NA,,,,,NA,,,,17393,,,7581,310843,,66856,,,57906,132188,,,,,24775,47175,3368,,,,NA,,11920,38263,188434,,1359412,,,
Thurso,,,,,,,39322,,,,,,9375.5,,,,,,,10294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44213.5,,,,15948,,,,,,,,,,,,,,,,,,,,,,25962.5,,,,,23435,103585,,,,,,,,
Tillicoultry,,7370,12294,,,1192779.5,275251.5,28695,,,25253,,52195,75248,,535103,,,2854.5,,,4663,364863,,220834.5,114049,,,,1375.5,2671.5,,,178888.5,1230770.5,,153416,,22291.5,,9012,,335003.5,164620,4486,,,,,178029,1851,,,81720.5,,1352,,,,135760.5,,,25483.5,36031,,,,,,4815,,,,,,372857,2922,,,,39813,,459.5,94127,388708.5,,415509.5,,,
Troqueer,163879.5,0,63443,27997,21239,393696,124249,2498.5,5246,,64625.5,,256381,22360,10945,120548,350389,0,3787,72044,,1473,25732,6783,,132766.5,,626,67531,0,0,16982,6641,298422.5,189652.5,,204591,,4227,,15892.3333333333,34365,214676,,3728.5,,,20122,25175,160769.5,0,,0,47859,,350,3041,12588,148130.5,159158,,0,2558,50123,,207888,1478.5,29430,127405,2338,1667,0,,,,106437.5,205,0,61631,12869,135258,118241,0,1984,41926,21340,231792,104609,0,0
Turriff,29275,,20755.5,,,587036,,,,,,,,4563.5,,128643.5,36166,,,,,1179,12378,,,158347,,,,0,3743,,,,253962,,42651,,,,1447.5,,63710,1579.5,,,,,,81357,0,,,5180,,1627,,,24464,0,,,,28677,,,,,,,,,,,,58607,0,,,,21411,,0,0,0,,881486,,,
Uplawmoor,,213.5,,,,,,0,,,,,,,,,,,700,,,,,,0,,,,,,,,,,,,,,267.5,,,,,,0,,,,,,,,,,,,,,,,,,1524,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Whitburn,,9854.5,75519,60622,,1600795,136592,5612.5,,,33467,,154571,105672.5,168999,114885,,,70167.5,83581.5,6187,15629.5,475173,,110144,98047,,,33318,555,483,,,415671,131599.5,,67333,,83808.5,171151,35746,142094,111454.5,79766,5342.5,5550,,,487578,118381.5,4997.5,,,89219.3333333333,,2901,,,,73102,,,50931,97979.5,462798,64903,,,,7046,53694,,,,38975,90860,3856,,,,59441,76436,1650,22068.5,187304.5,,478878,177806.5,,
Wick,,,,,,,80742,,,,,,53227.5,,,,,,,24160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36800.5,,,,17106,,,,,,,,,,,,,,,,,,,,,,118434,,,,,,6016,,,,,,,,
Winchburgh,150892,250,66275,25703,,2340,307893,783.5,,,295446,,334331,64144.5,1324,128599.5,,,35004.5,,,4575,266669,,16512,,,,308109,0,24420.5,,,405348,260332.5,,216856,,4963,603496,10431.5,615,120137.5,110262.5,31689,,,,16477,36005,6268.5,,,123804,,282,,,135415,41469.5,,,49506,83126.5,,19745,,,NA,18354.5,6595,,,,3835.5,139511.5,184,,,,208895,13074,0,15531.5,285443.5,,2382,93579,,
